post_id,content,user_id,timestamp,post_type
post_205,"Week 3 of meal prep discipline. Chicken, quinoa, roasted veggies, and sweet potato. My body thanks me but my taste buds are getting bored. Anyone have healthy recipe ideas? #mealprep #healthyeating",fitness_2,2025-01-21T17:00:00Z,food
post_206,"Discovered this amazing coffee shop that also hosts tech meetups. Great espresso AND networking opportunities? Sign me up! #coffee #networking",adan_juarez,2025-01-21T14:20:00Z,lifestyle
post_301,"Hit a new personal record on bench press today! 100kg for 5 reps! The grind is real but so worth it 💪 Next goal: 110kg by March #gymrat #fitness #strength",fitness_2,2025-01-16T18:45:00Z,fitness
post_302,"Started training for my first marathon today. 5km run and my legs are already screaming. This is going to be a long journey but I'm committed! Anyone have training tips? 🏃‍♂️",luis_fernando,2025-01-17T06:30:00Z,fitness
post_303,"Morning yoga session in the park was exactly what I needed. The combination of nature and mindfulness is incredibly powerful for stress relief. Highly recommend for anyone feeling overwhelmed! 🧘‍♀️",hannah_chenoa,2025-01-18T07:15:00Z,fitness
post_304,"I seriously need to fix my sleep schedule. Going to bed at 3am and waking up at noon is destroying my productivity. Starting tonight: phone away by 11pm, reading instead of scrolling. Wish me luck! 😴",dev_diana,2025-01-19T23:45:00Z,lifestyle
post_305,"Does anyone know good hiking trails near Guadalajara? Want to get outdoors this weekend and disconnect from screens for a bit. Moderate difficulty preferred! 🥾⛰️",stephanie_borrego,2025-01-20T10:00:00Z,fitness
post_306,"Completed my first 10K race! Time wasn't amazing but I finished without walking. The running community is so supportive and encouraging. Already signed up for the next one! 🏅",student_bob,2025-01-21T16:30:00Z,fitness
post_401,"Just booked my tickets to Japan! Tokyo, Kyoto, and Osaka here I come! ✈️🇯🇵 Been dreaming about this trip for years. Any recommendations for must-see spots or hidden gems?",travel_z,2025-01-15T21:00:00Z,travel
post_402,"The sunset at Puerto Vallarta beach was absolutely breathtaking. The sky turned every shade of pink and orange. Photos don't do it justice but I tried anyway 🌅",hannah_chenoa,2025-01-17T19:20:00Z,travel
post_403,"Movie marathon weekend! Watching all the Lord of the Rings extended editions back-to-back. Currently on The Two Towers. This trilogy never gets old 🎬",gamer_x,2025-01-18T22:30:00Z,entertainment
post_404,"Listening to Bad Bunny's new album on repeat. 'Monaco' is an absolute banger. This man never misses! 🎵🔥",student_alice,2025-01-19T11:45:00Z,entertainment
post_405,"Already missing those warm summer days. Winter is coming and I am definitely NOT ready for the cold weather. Time to invest in a good jacket ❄️",luis_fernando,2025-01-20T15:30:00Z,lifestyle
post_406,"Binge-watched the entire first season of that new sci-fi series on Netflix. The plot twists in episode 7 were insane! No spoilers but WOW 🤯",dev_edward,2025-01-21T01:15:00Z,entertainment
post_501,"Attended the Intel networking event today. Met some brilliant engineers working on next-gen processors. These events are always awkward at first but so valuable for career growth 🤝",amazon_recruiter,2025-01-16T20:00:00Z,career
post_502,"How does everyone manage stress during finals week? I'm drowning in assignments, three exams, and a major project due. Coffee is my only friend right now ☕😵",student_bob,2025-01-17T13:20:00Z,education
post_503,"JUST GOT ACCEPTED INTO THE AMAZON INTERNSHIP PROGRAM! All those late nights studying algorithms and practicing LeetCode problems finally paid off! So grateful and excited! 🎉",stephanie_borrego,2025-01-18T16:45:00Z,career
post_504,"Spending my Saturday studying data structures and algorithms. Linked lists, trees, graphs... it's all starting to click but man, graph traversal algorithms are tricky 🌳",adan_juarez,2025-01-19T14:00:00Z,education
post_505,"Big presentation tomorrow on our database project. Been rehearsing all day. Nervous but I know we built something impressive. Time to shine! 🎤 #publicspeaking",hannah_chenoa,2025-01-20T21:30:00Z,education
post_506,"Does anyone have experience negotiating tech job offers? Just got an offer but the salary seems low for the role. Don't want to be greedy but also want to be paid fairly 💼",dev_diana,2025-01-21T09:40:00Z,career
post_601,"The crypto market crash is a harsh reminder that diversification matters. Never put all your eggs in one basket. Traditional investments still have their place 📉",crypto_king,2025-01-16T08:30:00Z,finance
post_602,"Interesting research paper on how graph databases can improve social network analysis. The applications for recommendation systems are fascinating!",prof_leobardo,2025-01-17T10:15:00Z,technology
post_603,"Just deployed my first microservices architecture to production. Kubernetes is powerful but the learning curve is STEEP. Documentation is your best friend 🚀",dev_edward,2025-01-18T14:50:00Z,technology
post_604,"Climate change is the defining challenge of our generation. We need more engineers working on sustainable technology solutions. Who's with me? 🌍",student_alice,2025-01-19T12:00:00Z,social
post_605,"Started learning Rust today. The borrow checker is both brilliant and frustrating. But I can see why everyone loves this language for systems programming ⚙️",dev_diana,2025-01-20T16:20:00Z,technology
post_606,"Reminder: Imposter syndrome is real and totally normal in tech. You belong here. Your contributions matter. Keep pushing forward! 💪",amazon_recruiter,2025-01-21T11:00:00Z,career
